_id,product,price,quantity,date
679666e1ce20b4602aca3eb0,Tablet,1178,8,2023-12-18
679666e1ce20b4602aca3eb1,Mouse,518,3,2024-02-17
679666e1ce20b4602aca3eb2,Smartwatch,1377,6,2024-01-27
679666e1ce20b4602aca3eb3,Monitor,497,1,2023-03-21
679666e1ce20b4602aca3eb4,Smartwatch,1471,3,2022-04-08
679666e1ce20b4602aca3eb5,Laptop,557,8,2024-05-05
679666e1ce20b4602aca3eb6,Mouse,1094,4,2024-05-21
679666e1ce20b4602aca3eb7,Smartwatch,1987,8,2024-08-12
679666e1ce20b4602aca3eb8,Headphones,268,2,2022-02-22
679666e1ce20b4602aca3eb9,Laptop,96,2,2023-03-18
679666e1ce20b4602aca3eba,Keyboard,1642,10,2024-10-07
679666e1ce20b4602aca3ebb,Tablet,756,3,2024-04-22
679666e1ce20b4602aca3ebc,Phone,1413,5,2023-05-29
679666e1ce20b4602aca3ebd,Keyboard,1165,10,2022-06-28
679666e1ce20b4602aca3ebe,Keyboard,1307,2,2023-09-13
679666e1ce20b4602aca3ebf,Phone,163,3,2024-04-01
679666e1ce20b4602aca3ec0,Headphones,870,4,2023-07-07
679666e1ce20b4602aca3ec1,Headphones,1942,4,2022-01-28
679666e1ce20b4602aca3ec2,Headphones,820,7,2024-08-12
679666e1ce20b4602aca3ec3,Tablet,1283,2,2022-01-11
679666e1ce20b4602aca3ec4,Smartwatch,359,6,2024-08-14
679666e1ce20b4602aca3ec5,Tablet,1815,5,2022-02-02
679666e1ce20b4602aca3ec6,Monitor,1613,9,2022-10-13
679666e1ce20b4602aca3ec7,Monitor,1923,10,2024-07-01
679666e1ce20b4602aca3ec8,Mouse,1331,1,2023-03-02
679666e1ce20b4602aca3ec9,Laptop,1242,1,2023-04-05
679666e1ce20b4602aca3eca,Smartwatch,714,5,2022-05-07
679666e1ce20b4602aca3ecb,Keyboard,1422,9,2024-08-29
679666e1ce20b4602aca3ecc,Tablet,1635,3,2024-10-12
679666e1ce20b4602aca3ecd,Phone,157,10,2023-05-16
679666e1ce20b4602aca3ece,Monitor,443,4,2022-04-23
679666e1ce20b4602aca3ecf,Tablet,1339,4,2024-05-25
679666e1ce20b4602aca3ed0,Keyboard,603,9,2024-10-16
679666e1ce20b4602aca3ed1,Headphones,874,10,2024-06-28
679666e1ce20b4602aca3ed2,Headphones,766,4,2024-01-18
679666e1ce20b4602aca3ed3,Headphones,388,7,2022-06-28
679666e1ce20b4602aca3ed4,Smartwatch,297,4,2022-07-03
679666e1ce20b4602aca3ed5,Tablet,1717,6,2024-06-17
679666e1ce20b4602aca3ed6,Phone,512,7,2024-10-11
679666e1ce20b4602aca3ed7,Mouse,1492,7,2024-05-02
679666e1ce20b4602aca3ed8,Keyboard,1868,3,2024-04-06
679666e1ce20b4602aca3ed9,Monitor,1769,9,2022-06-16
679666e1ce20b4602aca3eda,Keyboard,608,7,2024-01-05
679666e1ce20b4602aca3edb,Keyboard,199,5,2024-07-24
679666e1ce20b4602aca3edc,Keyboard,929,2,2022-06-30
679666e1ce20b4602aca3edd,Smartwatch,1807,4,2022-03-11
679666e1ce20b4602aca3ede,Mouse,269,10,2023-06-26
679666e1ce20b4602aca3edf,Keyboard,1442,2,2022-12-07
679666e1ce20b4602aca3ee0,Tablet,416,4,2023-06-07
679666e1ce20b4602aca3ee1,Mouse,749,7,2022-10-06
679666e1ce20b4602aca3ee2,Smartwatch,987,2,2024-03-19
679666e1ce20b4602aca3ee3,Tablet,1752,4,2022-02-19
679666e1ce20b4602aca3ee4,Mouse,51,10,2022-07-08
679666e1ce20b4602aca3ee5,Tablet,1666,7,2024-03-20
679666e1ce20b4602aca3ee6,Tablet,190,3,2023-04-28
679666e1ce20b4602aca3ee7,Keyboard,1333,2,2022-12-20
679666e1ce20b4602aca3ee8,Tablet,1120,9,2023-07-08
679666e1ce20b4602aca3ee9,Laptop,1619,7,2022-07-15
679666e1ce20b4602aca3eea,Monitor,389,6,2022-04-25
679666e1ce20b4602aca3eeb,Laptop,1721,8,2022-12-04
679666e1ce20b4602aca3eec,Laptop,1042,7,2023-07-09
679666e1ce20b4602aca3eed,Laptop,149,2,2024-07-08
679666e1ce20b4602aca3eee,Phone,939,9,2024-07-07
679666e1ce20b4602aca3eef,Keyboard,1483,9,2022-08-02
679666e1ce20b4602aca3ef0,Headphones,1679,7,2022-01-22
679666e1ce20b4602aca3ef1,Headphones,779,4,2022-08-27
679666e1ce20b4602aca3ef2,Mouse,516,10,2022-02-17
679666e1ce20b4602aca3ef3,Headphones,1462,5,2022-10-23
679666e1ce20b4602aca3ef4,Keyboard,1481,9,2024-12-11
679666e1ce20b4602aca3ef5,Laptop,831,3,2024-08-17
679666e1ce20b4602aca3ef6,Mouse,155,3,2024-08-22
679666e1ce20b4602aca3ef7,Smartwatch,1396,4,2022-09-15
679666e1ce20b4602aca3ef8,Mouse,1025,2,2024-06-15
679666e1ce20b4602aca3ef9,Mouse,1835,7,2023-05-01
679666e1ce20b4602aca3efa,Headphones,1051,4,2023-05-12
679666e1ce20b4602aca3efb,Keyboard,1188,8,2023-09-08
679666e1ce20b4602aca3efc,Phone,634,6,2024-05-14
679666e1ce20b4602aca3efd,Smartwatch,1659,5,2022-02-14
679666e1ce20b4602aca3efe,Mouse,619,1,2024-02-16
679666e1ce20b4602aca3eff,Phone,770,3,2024-04-07
679666e1ce20b4602aca3f00,Monitor,1607,7,2023-09-26
679666e1ce20b4602aca3f01,Phone,1413,8,2023-10-01
679666e1ce20b4602aca3f02,Headphones,1748,8,2023-01-26
679666e1ce20b4602aca3f03,Tablet,750,3,2022-02-08
679666e1ce20b4602aca3f04,Mouse,93,6,2024-09-19
679666e1ce20b4602aca3f05,Phone,168,1,2024-02-08
679666e1ce20b4602aca3f06,Monitor,387,10,2022-12-10
679666e1ce20b4602aca3f07,Keyboard,768,7,2024-06-24
679666e1ce20b4602aca3f08,Headphones,182,6,2024-11-28
679666e1ce20b4602aca3f09,Keyboard,313,1,2023-06-26
679666e1ce20b4602aca3f0a,Phone,610,4,2023-05-26
679666e1ce20b4602aca3f0b,Monitor,224,9,2022-12-02
679666e1ce20b4602aca3f0c,Laptop,426,6,2023-01-14
679666e1ce20b4602aca3f0d,Mouse,1578,2,2024-07-09
679666e1ce20b4602aca3f0e,Headphones,250,5,2023-01-13
